
----------
Loaded log file: "server_log.txt".
----------

SA-MP Dedicated Server
----------------------
v0.3.DL-R1, (C)2005-2018 SA-MP Team

[00:35:08] 
[00:35:08] Server Plugins
[00:35:08] --------------
[00:35:08]  Loading plugin: sscanf
[00:35:08] 

[00:35:08]  ===============================

[00:35:08]       sscanf plugin loaded.     

[00:35:08]          Version:  2.8.2        

[00:35:08]    (c) 2012 Alex "Y_Less" Cole  
[00:35:14] [artwork:crc] was_dead_dere.dff CRC = 0x2DECF3BE
[00:35:14] [artwork:crc] dere.txd CRC = 0x5E9B8D17
[00:35:14] [artwork:crc] big_trash_35m.dff CRC = 0x740A86E9
[00:35:14] [artwork:crc] dere.txd CRC = 0x5E9B8D17
[00:35:14] [artwork:crc] was_dead_whi.dff CRC = 0x3FE46A8D
[00:35:14] [artwork:crc] dere.txd CRC = 0x5E9B8D17
[00:35:14] [artwork:crc] iten_details7.dff CRC = 0xE873C5F8
[00:35:14] [artwork:crc] gen.txd CRC = 0x544D1C7C
[00:35:14] [artwork:crc] was_subhouse01.dff CRC = 0x81221786
[00:35:14] [artwork:crc] sub_urbanold.txd CRC = 0x370404C9
[00:35:14] [artwork:crc] was_subhouse02.dff CRC = 0x24737555
[00:35:15] [artwork:crc] sub_urbanold.txd CRC = 0x370404C9
[00:35:15] [artwork:crc] was_subhouse03.dff CRC = 0x4124C717
[00:35:15] [artwork:crc] sub_urbanold.txd CRC = 0x370404C9
[00:35:15] [artwork:crc] was_subhouse01c.dff CRC = 0x9E1722BC
[00:35:15] [artwork:crc] sub_urbanold.txd CRC = 0x370404C9
[00:35:15] [artwork:crc] was_subhouse02c.dff CRC = 0x5AE6ADC1
[00:35:15] [artwork:crc] sub_urbanold.txd CRC = 0x370404C9
[00:35:15] [artwork:crc] was_sub_grg.dff CRC = 0xB84111AA
[00:35:15] [artwork:crc] sub_grg.txd CRC = 0xDD5215D0
[00:35:15] [artwork:crc] was_trees.dff CRC = 0x7990A30D
[00:35:15] [artwork:crc] woo.txd CRC = 0xDA600858
[00:35:15] [artwork:crc] national_dinner.dff CRC = 0xF87E17A2
[00:35:15] [artwork:crc] dinner_n.txd CRC = 0x61C65FD0
[00:35:15] [artwork:crc] ig_ho_base.dff CRC = 0x2F22A4F5
[00:35:15] [artwork:crc] hotel_DT.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] ig_ho_mid03.dff CRC = 0x949F0E33
[00:35:15] [artwork:crc] hotel_DT.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] ig_ho_mid02.dff CRC = 0xB3AA4A9F
[00:35:15] [artwork:crc] hotel_DT.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] ig_ho_ent.dff CRC = 0x53733230
[00:35:15] [artwork:crc] hotel_DT.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] ig_ho_r03.dff CRC = 0x948F4F77
[00:35:15] [artwork:crc] hotel_dt.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] ig_ho_r01.dff CRC = 0x7C9A429B
[00:35:15] [artwork:crc] hotel_dt.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] ig_ho_r02.dff CRC = 0x306033F9
[00:35:15] [artwork:crc] hotel_dt.txd CRC = 0x657C7FCF
[00:35:15] [artwork:crc] was_J-brick.dff CRC = 0x7DCDE92C
[00:35:16] [artwork:crc] jax1.txd CRC = 0x54B6C0DC
[00:35:16] [artwork:crc] was_ind_crane.dff CRC = 0x5C3E9B1
[00:35:16] [artwork:crc] ind_crane.txd CRC = 0x1A8A418E
[00:35:16] [artwork:crc] ig_ho_lad01.dff CRC = 0xAA94457D
[00:35:16] [artwork:crc] hotel_DT.txd CRC = 0x657C7FCF
[00:35:16] [artwork:crc] ig_ho_lad02.dff CRC = 0x5B67CE25
[00:35:16] [artwork:crc] hotel_DT.txd CRC = 0x657C7FCF
[00:35:16] [artwork:crc] was_parkfnc.dff CRC = 0xDB809FD9
[00:35:16] [artwork:crc] az_mt.txd CRC = 0x45064840
[00:35:16] [artwork:crc] was_sub_sht.dff CRC = 0x905E1929
[00:35:16] [artwork:crc] sub_hou.txd CRC = 0x907CE944
[00:35:16] [artwork:crc] g_rail.dff CRC = 0xD330B5EA
[00:35:16] [artwork:crc] old_stuff.txd CRC = 0xC972FDC3
[00:35:16] [artwork:crc] telgrphpoles.dff CRC = 0xC55065DD
[00:35:16] [artwork:crc] old_stuff.txd CRC = 0xC972FDC3
[00:35:16] [artwork:crc] national_dinner_a.dff CRC = 0xB9996CA4
[00:35:17] [artwork:crc] dinner_n.txd CRC = 0x61C65FD0
[00:35:17] [artwork:crc] was_dt_hoodZ.dff CRC = 0xC80DC75
[00:35:17] [artwork:crc] was_dt_hoodZ.txd CRC = 0x55E62994
[00:35:17] [artwork:crc] was_brd_end01.dff CRC = 0x954300C5
[00:35:17] [artwork:crc] hibrd.txd CRC = 0x8CDE9A02
[00:35:17] [artwork:crc] was_brd_cr.dff CRC = 0xF417CAA5
[00:35:17] [artwork:crc] hibrd.txd CRC = 0x8CDE9A02
[00:35:17] [artwork:crc] was_pin_group.dff CRC = 0xC672AE22
[00:35:17] [artwork:crc] wtre.txd CRC = 0xC40D06C5
[00:35:17] [artwork:crc] was_indust_base.dff CRC = 0x75FE135A
[00:35:17] [artwork:crc] was_indust_base.txd CRC = 0x6647A257
[00:35:18] [artwork:crc] was_stadium.dff CRC = 0x989E5388
[00:35:18] [artwork:crc] was_stadium.txd CRC = 0x8E5874BE
[00:35:18] [artwork:crc] ru_fuck_lnd.dff CRC = 0xC4E0E0DF
[00:35:18] [artwork:crc] grd.txd CRC = 0x2ABD3A35
[00:35:18] [artwork:crc] car_big_grp.dff CRC = 0x8E051507
[00:35:18] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:18] [artwork:crc] was_truline.dff CRC = 0xEE569847
[00:35:18] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:18] [artwork:crc] was_rock_grp.dff CRC = 0xB2AF1C56
[00:35:18] [artwork:crc] cliffs_pack.txd CRC = 0x24BE088C
[00:35:18] [artwork:crc] rus_vov_angar.dff CRC = 0x5F42E5
[00:35:18] [artwork:crc] vov.txd CRC = 0x994A7EE0
[00:35:18] [artwork:crc] rus_vov_zab.dff CRC = 0x3FF24DED
[00:35:18] [artwork:crc] vov.txd CRC = 0x994A7EE0
[00:35:18] [artwork:crc] rus_vov_gate.dff CRC = 0x8A57BFA4
[00:35:18] [artwork:crc] vov.txd CRC = 0x994A7EE0
[00:35:18] [artwork:crc] pylon_1.dff CRC = 0x79B80DD5
[00:35:18] [artwork:crc] old_stuff.txd CRC = 0xC972FDC3
[00:35:18] [artwork:crc] bar_det01.dff CRC = 0x42891BDB
[00:35:18] [artwork:crc] slut_int.txd CRC = 0xACABD7F8
[00:35:18] [artwork:crc] bar_det02.dff CRC = 0xE2F6E78
[00:35:18] [artwork:crc] slut_int.txd CRC = 0xACABD7F8
[00:35:18] [artwork:crc] bar_int.dff CRC = 0xAABD5628
[00:35:18] [artwork:crc] slut_int.txd CRC = 0xACABD7F8
[00:35:19] [artwork:crc] basement_lamp.dff CRC = 0x48B121CA
[00:35:19] [artwork:crc] MH2Ass.txd CRC = 0x7022F527
[00:35:19] [artwork:crc] rub_pa.dff CRC = 0xAE19715E
[00:35:19] [artwork:crc] mh2.txd CRC = 0x232AEBDD
[00:35:19] [artwork:crc] was_savehou.dff CRC = 0x5E71BCB3
[00:35:19] [artwork:crc] save_int.txd CRC = 0x6FBEC51D
[00:35:19] [artwork:crc] was_NH_bld.dff CRC = 0x76126493
[00:35:19] [artwork:crc] chem.txd CRC = 0xD22A0CAA
[00:35:19] [artwork:crc] was_dea_app_e.dff CRC = 0x682E2FCC
[00:35:19] [artwork:crc] dea_app.txd CRC = 0x4C7D1401
[00:35:19] [artwork:crc] was_dea_app_r.dff CRC = 0x4968F113
[00:35:19] [artwork:crc] dea_app.txd CRC = 0x4C7D1401
[00:35:19] [artwork:crc] was_dea_app_m.dff CRC = 0x3AE07BE2
[00:35:19] [artwork:crc] dea_app.txd CRC = 0x4C7D1401
[00:35:20] [artwork:crc] dtn_appart_dw.dff CRC = 0x9E594FF5
[00:35:20] [artwork:crc] dtn_app.txd CRC = 0xD5870CD9
[00:35:20] [artwork:crc] dtn_appart_md.dff CRC = 0x7C9CFA96
[00:35:20] [artwork:crc] dtn_app.txd CRC = 0xD5870CD9
[00:35:20] [artwork:crc] dtn_appart_rf.dff CRC = 0x1F81EE8E
[00:35:20] [artwork:crc] dtn_app.txd CRC = 0xD5870CD9
[00:35:20] [artwork:crc] was_appart_d.dff CRC = 0xC27984EF
[00:35:20] [artwork:crc] neoclassic.txd CRC = 0x4CD81B6B
[00:35:20] [artwork:crc] was_appart_r.dff CRC = 0x93C73EDB
[00:35:20] [artwork:crc] neoclassic.txd CRC = 0x4CD81B6B
[00:35:20] [artwork:crc] was_appart_m.dff CRC = 0xC23072A9
[00:35:20] [artwork:crc] neoclassic.txd CRC = 0x4CD81B6B
[00:35:20] [artwork:crc] bush_street.dff CRC = 0xBA4C3F5
[00:35:21] [artwork:crc] fo3_stuff.txd CRC = 0x5C93D80B
[00:35:21] [artwork:crc] was_ind_fnc_c.dff CRC = 0x31E4E09B
[00:35:21] [artwork:crc] fact_1.txd CRC = 0xA6F7993B
[00:35:21] [artwork:crc] was_ind_fnc.dff CRC = 0xD8052A21
[00:35:21] [artwork:crc] fact_1.txd CRC = 0xA6F7993B
[00:35:21] [artwork:crc] bush_st_big.dff CRC = 0xAF037D71
[00:35:21] [artwork:crc] fo3_stuff.txd CRC = 0x5C93D80B
[00:35:21] [artwork:crc] int_cor01.dff CRC = 0x7BD7C6B4
[00:35:21] [artwork:crc] intz_1.txd CRC = 0xBE66C210
[00:35:21] [artwork:crc] int_cor02.dff CRC = 0xBAF2A595
[00:35:21] [artwork:crc] intz_1.txd CRC = 0xBE66C210
[00:35:21] [artwork:crc] int_roomA.dff CRC = 0xBFAF9FEA
[00:35:21] [artwork:crc] intz_1.txd CRC = 0xBE66C210
[00:35:21] [artwork:crc] int_cor04.dff CRC = 0x172C1A85
[00:35:21] [artwork:crc] intz_1.txd CRC = 0xBE66C210
[00:35:21] [artwork:crc] trash02.dff CRC = 0x148D7350
[00:35:21] [artwork:crc] wastelandsf.txd CRC = 0xAEA14FE5
[00:35:21] [artwork:crc] int_cor05.dff CRC = 0x91AAED48
[00:35:21] [artwork:crc] intz_1.txd CRC = 0xBE66C210
[00:35:21] [artwork:crc] was_su_small_ed.dff CRC = 0xCB4E76F6
[00:35:21] [artwork:crc] was_su_small_ed.txd CRC = 0xDDCE55BC
[00:35:21] [artwork:crc] was_car_r_bld.dff CRC = 0x57516F32
[00:35:22] [artwork:crc] pns.txd CRC = 0x112140F9
[00:35:22] [artwork:crc] ig_motel_homes.dff CRC = 0xC2CDD81C
[00:35:22] [artwork:crc] motels.txd CRC = 0x98AB8857
[00:35:22] [artwork:crc] ig_motel_land.dff CRC = 0x6952D8D8
[00:35:22] [artwork:crc] motels.txd CRC = 0x98AB8857
[00:35:22] [artwork:crc] motel_sign.dff CRC = 0x62F5BB16
[00:35:22] [artwork:crc] motels.txd CRC = 0x98AB8857
[00:35:22] [artwork:crc] petrolpumpnew.dff CRC = 0xCEC38A4E
[00:35:22] [artwork:crc] petrol.txd CRC = 0xF668DC21
[00:35:22] [artwork:crc] yank-1.dff CRC = 0xEA9387FF
[00:35:22] [artwork:crc] air.txd CRC = 0x518AC18E
[00:35:22] [artwork:crc] fal_1.dff CRC = 0xC793D038
[00:35:22] [artwork:crc] air.txd CRC = 0x518AC18E
[00:35:22] [artwork:crc] car_grp.dff CRC = 0xF3596331
[00:35:22] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:22] [artwork:crc] kruma.dff CRC = 0xB5AAB771
[00:35:22] [artwork:crc] air.txd CRC = 0x518AC18E
[00:35:22] [artwork:crc] ocean_02.dff CRC = 0x3FFBE710
[00:35:22] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:22] [artwork:crc] lin_1.dff CRC = 0xBE197EC7
[00:35:22] [artwork:crc] air.txd CRC = 0x518AC18E
[00:35:22] [artwork:crc] stlamp2_d.dff CRC = 0xFFA037E8
[00:35:22] [artwork:crc] old_stuff.txd CRC = 0xC972FDC3
[00:35:22] [artwork:crc] farm_mhlight.dff CRC = 0xEEBF6ABD
[00:35:22] [artwork:crc] mh2.txd CRC = 0x232AEBDD
[00:35:22] [artwork:crc] bus_2.dff CRC = 0x2EB901AF
[00:35:23] [artwork:crc] air.txd CRC = 0x518AC18E
[00:35:23] [artwork:crc] was_rai_mid.dff CRC = 0xDF428040
[00:35:23] [artwork:crc] trainyard.txd CRC = 0x492B2A74
[00:35:23] [artwork:crc] was_rai_cr.dff CRC = 0x5A9C8037
[00:35:23] [artwork:crc] trainyard.txd CRC = 0x492B2A74
[00:35:23] [artwork:crc] des_nbridgebit_02.dff CRC = 0x804E418C
[00:35:23] [artwork:crc] trainyard.txd CRC = 0x492B2A74
[00:35:23] [artwork:crc] was_ent_bd999.dff CRC = 0x903B51E9
[00:35:23] [artwork:crc] az_br.txd CRC = 0x4CBE0F38
[00:35:23] [artwork:crc] was_bri_gen_bld.dff CRC = 0x93B88E8A
[00:35:23] [artwork:crc] az_br.txd CRC = 0x4CBE0F38
[00:35:23] [artwork:crc] traincano_las.dff CRC = 0xB1434F27
[00:35:23] [artwork:crc] trainyard.txd CRC = 0x492B2A74
[00:35:23] [artwork:crc] was_indust_1.dff CRC = 0x1108769
[00:35:23] [artwork:crc] fact_1.txd CRC = 0xA6F7993B
[00:35:23] [artwork:crc] wasind_gate.dff CRC = 0x46CDB777
[00:35:23] [artwork:crc] fact_1.txd CRC = 0xA6F7993B
[00:35:23] [artwork:crc] was_warehous_01.dff CRC = 0xAA2EB903
[00:35:23] [artwork:crc] fact_1.txd CRC = 0xA6F7993B
[00:35:23] [artwork:crc] was_cli_ap.dff CRC = 0xEFA9BBDA
[00:35:23] [artwork:crc] grnd.txd CRC = 0x6DD8ECE3
[00:35:23] [artwork:crc] vent_factory.dff CRC = 0x3FC900F1
[00:35:23] [artwork:crc] nuke_pharm.txd CRC = 0xF1A0C3ED
[00:35:23] [artwork:crc] ig_bld_brk01.dff CRC = 0x6322CD1B
[00:35:24] [artwork:crc] urban_app.txd CRC = 0x4C97EF9
[00:35:24] [artwork:crc] ig_whouse01.dff CRC = 0x993FF648
[00:35:24] [artwork:crc] dockland_txd.txd CRC = 0x564EA4B4
[00:35:24] [artwork:crc] ig_bld_app01.dff CRC = 0x789EFDF6
[00:35:24] [artwork:crc] urban_app.txd CRC = 0x4C97EF9
[00:35:24] [artwork:crc] ig_bld_app02.dff CRC = 0x14EC1068
[00:35:24] [artwork:crc] urban_app.txd CRC = 0x4C97EF9
[00:35:24] [artwork:crc] pans_bld.dff CRC = 0xEC556AA1
[00:35:24] [artwork:crc] clowns_bld.txd CRC = 0x9336C3D4
[00:35:24] [artwork:crc] was_azu_cr_tower.dff CRC = 0xA113C236
[00:35:24] [artwork:crc] az_bld.txd CRC = 0xA1CE51BD
[00:35:24] [artwork:crc] was_az_mainten.dff CRC = 0xA59A04A4
[00:35:24] [artwork:crc] az_mt.txd CRC = 0x45064840
[00:35:24] [artwork:crc] ig_whouseg2.dff CRC = 0x856E06F
[00:35:24] [artwork:crc] dockland_txd.txd CRC = 0x564EA4B4
[00:35:24] [artwork:crc] ig_whouseg1.dff CRC = 0x422E29FB
[00:35:24] [artwork:crc] dockland_txd.txd CRC = 0x564EA4B4
[00:35:24] [artwork:crc] pans_int.dff CRC = 0xB1D9366C
[00:35:24] [artwork:crc] clowns_bld.txd CRC = 0x9336C3D4
[00:35:24] [artwork:crc] pans_int_2.dff CRC = 0xB54F137A
[00:35:25] [artwork:crc] clowns_bld.txd CRC = 0x9336C3D4
[00:35:25] [artwork:crc] pans_decals.dff CRC = 0x22A7C59
[00:35:25] [artwork:crc] clowns_bld.txd CRC = 0x9336C3D4
[00:35:25] [artwork:crc] mtrafficd.dff CRC = 0xBE75C13
[00:35:25] [artwork:crc] old_stuff.txd CRC = 0xC972FDC3
[00:35:25] [artwork:crc] was_cli_crn01.dff CRC = 0xA2A6D471
[00:35:25] [artwork:crc] grnd2.txd CRC = 0xD86D9A5A
[00:35:25] [artwork:crc] was_cli_end01.dff CRC = 0x790A9E2E
[00:35:25] [artwork:crc] grnd2.txd CRC = 0xD86D9A5A
[00:35:25] [artwork:crc] was_cli_mid.dff CRC = 0xEB169A93
[00:35:25] [artwork:crc] grnd2.txd CRC = 0xD86D9A5A
[00:35:25] [artwork:crc] was_cli_end02.dff CRC = 0xC821FD4E
[00:35:25] [artwork:crc] grnd2.txd CRC = 0xD86D9A5A
[00:35:25] [artwork:crc] was_rd_cliff.dff CRC = 0x798F0BCC
[00:35:26] [artwork:crc] wrd.txd CRC = 0x6B66CD12
[00:35:26] [artwork:crc] was_cli_end03.dff CRC = 0x790741B7
[00:35:26] [artwork:crc] grnd2.txd CRC = 0xD86D9A5A
[00:35:26] [artwork:crc] was_rd_cap03.dff CRC = 0xB5537B4D
[00:35:26] [artwork:crc] wrd.txd CRC = 0x6B66CD12
[00:35:26] [artwork:crc] was_rd_capcr.dff CRC = 0x448B2FE
[00:35:26] [artwork:crc] wrd.txd CRC = 0x6B66CD12
[00:35:26] [artwork:crc] was_bigsub03.dff CRC = 0x3971920B
[00:35:26] [artwork:crc] sub_hou.txd CRC = 0x907CE944
[00:35:26] [artwork:crc] was_bigsub02.dff CRC = 0x46E65F94
[00:35:26] [artwork:crc] sub_hou.txd CRC = 0x907CE944
[00:35:26] [artwork:crc] was_bigsub01.dff CRC = 0xBB1F9C9B
[00:35:26] [artwork:crc] sub_hou.txd CRC = 0x907CE944
[00:35:26] [artwork:crc] was_subhouse03c.dff CRC = 0xC511C781
[00:35:26] [artwork:crc] sub_urbanold.txd CRC = 0x370404C9
[00:35:26] [artwork:crc] was_school01.dff CRC = 0x214F3366
[00:35:26] [artwork:crc] manson_school.txd CRC = 0xAC76F605
[00:35:26] [artwork:crc] was_joegas_dlc.dff CRC = 0x78F81D7E
[00:35:26] [artwork:crc] jgas.txd CRC = 0x31D4C323
[00:35:26] [artwork:crc] was_joegas_int.dff CRC = 0x20E8B663
[00:35:26] [artwork:crc] jgas.txd CRC = 0x31D4C323
[00:35:26] [artwork:crc] was_joegas.dff CRC = 0x41550ED5
[00:35:26] [artwork:crc] jgas.txd CRC = 0x31D4C323
[00:35:26] [artwork:crc] was_gen_store.dff CRC = 0x333631DD
[00:35:27] [artwork:crc] sb_gst.txd CRC = 0x27E70393
[00:35:27] [artwork:crc] was_sub_pol.dff CRC = 0x1FF9A15A
[00:35:27] [artwork:crc] sub_p.txd CRC = 0xBD57F7A9
[00:35:27] [artwork:crc] was_saddom.dff CRC = 0xF113BC3D
[00:35:27] [artwork:crc] sdm.txd CRC = 0x4CB9F59A
[00:35:27] [artwork:crc] was_graves.dff CRC = 0x2227F3D0
[00:35:27] [artwork:crc] sdm.txd CRC = 0x4CB9F59A
[00:35:27] [artwork:crc] was_cliff_sm.dff CRC = 0x171F03FC
[00:35:27] [artwork:crc] grnd.txd CRC = 0x6DD8ECE3
[00:35:27] [artwork:crc] ocean_01.dff CRC = 0x51BE068A
[00:35:27] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:27] [artwork:crc] walt_1.dff CRC = 0x78B26714
[00:35:27] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:27] [artwork:crc] ran_1.dff CRC = 0x8EAE990D
[00:35:27] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:27] [artwork:crc] police_1.dff CRC = 0x4D0E84AB
[00:35:27] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:27] [artwork:crc] gleb_1.dff CRC = 0x4D196589
[00:35:27] [artwork:crc] wscr.txd CRC = 0x18E52D55
[00:35:27] [artwork:crc] farm_fence.dff CRC = 0xA8511C99
[00:35:27] [artwork:crc] farms.txd CRC = 0xF77559C2
[00:35:27] [artwork:crc] city_sign01.dff CRC = 0x68D103CF
[00:35:27] [artwork:crc] motels.txd CRC = 0x98AB8857
[00:35:27] [artwork:crc] rocky03.dff CRC = 0x957854D8
[00:35:27] [artwork:crc] wastelandsf.txd CRC = 0xAEA14FE5
